run_id	stage	error
mxfpmac_32_4_mxfp8_e4m3_20nm_TT_0V9_25C_88p8889MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.32) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_2_mxfp8_e4m3_10nm_TT_0V8_25C_133p333MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.33) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp8_e5m2_16nm_TT_0V85_25C_125MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.39) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp8_e4m3_10nm_TT_0V8_25C_125MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.39) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp6_e3m2_20nm_TT_0V9_25C_90p9091MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.38) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp8_e4m3_10nm_TT_0V8_25C_210p526MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.36) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp6_e2m3_20nm_TT_0V9_25C_90p9091MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.6) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp8_e4m3_16nm_TT_0V85_25C_125MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.41) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp8_e4m3_16nm_TT_0V85_25C_76p9231MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.57) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp4_e2m1_20nm_TT_0V9_25C_93p0233MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.38) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp6_e3m2_16nm_TT_0V85_25C_129p032MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.43) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_64_2_mxfp8_e5m2_20nm_TT_0V9_25C_88p8889MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.33) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp4_e2m1_10nm_TT_0V8_25C_129p032MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.39) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp4_e2m1_10nm_TT_0V8_25C_210p526MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.33) -- the job clock is not achievable; gen-jobs should derive a slower one
