flow_run_id,rtl_name,arch_params,node,corner,vdd_V,temperature_C,clock_period_ns,clock_freq_mhz,width,depth,dc_version,syn_total_cells,syn_comb_cells,syn_seq_cells,syn_total_area_um2,syn_comb_area_um2,syn_seq_area_um2,syn_scr,syn_sar,syn_crit_path_ns,syn_wns_ns,syn_tns_ns,syn_violating_paths,icc2_version,pnr_total_cells,pnr_comb_cells,pnr_seq_cells,pnr_total_area_um2,pnr_comb_area_um2,pnr_seq_area_um2,pnr_core_area_um2,pnr_utilization,pnr_scr,pnr_sar,pnr_crit_path_ns,pnr_wns_ns,pnr_tns_ns,pnr_violating_paths,starrc_version,pt_version,internal_power_mW,switching_power_mW,leak_power_mW,total_power_mW,dyn_power_mW,dyn_energy_pJ,clock_network_internal_power_mW,clock_network_switching_power_mW,clock_network_leak_power_mW,clock_network_total_power_mW,register_internal_power_mW,register_switching_power_mW,register_leak_power_mW,register_total_power_mW,combinational_internal_power_mW,combinational_switching_power_mW,combinational_leak_power_mW,combinational_total_power_mW,sequential_internal_power_mW,sequential_switching_power_mW,sequential_leak_power_mW,sequential_total_power_mW,memory_internal_power_mW,memory_switching_power_mW,memory_leak_power_mW,memory_total_power_mW,io_pad_internal_power_mW,io_pad_switching_power_mW,io_pad_leak_power_mW,io_pad_total_power_mW,black_box_internal_power_mW,black_box_switching_power_mW,black_box_leak_power_mW,black_box_total_power_mW,power_activity_mode,stim_mode,collector_schema,collected_at
fifo_16_4_5nm_TT_0V7_25C_1333p33MHz,fifo,width=16;depth=4,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,4,V-2023.12-SP4,320,231,89,22.134,7.182,14.952,0.278125,0.6755218216318786,0.33,0.03,0.0,0,V-2023.12-SP4,324,235,89,24.04,7.71,16.33,31.0464,0.7744,0.27469135802469136,0.6792845257903494,0.54,0.08,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.42279999999999995,0.1086,0.000203,0.5316000000000001,0.5314,0.39854999999999996,0.3361,0.06621,1.054e-05,0.40230000000000005,0.06547,0.0123,0.0001441,0.07792,0.02125,0.030090000000000002,4.837e-05,0.05139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-31T09:29:46+00:00
fifo_16_4_5nm_TT_0V7_25C_1333p33MHz,fifo,width=16;depth=4,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,4,V-2023.12-SP4,320,231,89,22.134,7.182,14.952,0.278125,0.6755218216318786,0.33,0.03,0.0,0,V-2023.12-SP4,324,235,89,24.04,7.71,16.33,31.0464,0.7744,0.27469135802469136,0.6792845257903494,0.54,0.08,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.4259,0.1301,0.00020380000000000002,0.5561999999999999,0.556,0.41700000000000004,0.3363,0.06621,1.054e-05,0.4025,0.05604,0.008102,0.000144,0.06429,0.03355,0.05583,4.926e-05,0.08942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-31T09:29:54+00:00
fifo_16_4_5nm_TT_0V7_25C_1333p33MHz,fifo,width=16;depth=4,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,4,V-2023.12-SP4,320,231,89,22.134,7.182,14.952,0.278125,0.6755218216318786,0.33,0.03,0.0,0,V-2023.12-SP4,324,235,89,24.04,7.71,16.33,31.0464,0.7744,0.27469135802469136,0.6792845257903494,0.54,0.08,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.45790000000000003,0.1416,0.0002037,0.5998,0.5995,0.44962500000000005,0.3367,0.06621,1.054e-05,0.40299999999999997,0.08274,0.01184,0.00014429999999999998,0.09472,0.03845,0.06359000000000001,4.886e-05,0.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,stream,2,2026-07-31T09:30:04+00:00
fifo_16_4_5nm_TT_0V7_25C_1333p33MHz,fifo,width=16;depth=4,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,4,V-2023.12-SP4,320,231,89,22.134,7.182,14.952,0.278125,0.6755218216318786,0.33,0.03,0.0,0,V-2023.12-SP4,324,235,89,24.04,7.71,16.33,31.0464,0.7744,0.27469135802469136,0.6792845257903494,0.54,0.08,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.3358,0.06621,0.0002074,0.4022,0.40201,0.3015075,0.3358,0.06621,1.054e-05,0.402,0.0,0.0,0.000146,0.000146,0.0,0.0,5.092e-05,5.092e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,idle,2,2026-07-31T09:30:13+00:00
fifo_16_4_5nm_TT_0V7_25C_800MHz,fifo,width=16;depth=4,5nm,TT,0.7,25.0,1.25,800.0,16,4,V-2023.12-SP4,320,231,89,22.134,7.182,14.952,0.278125,0.6755218216318786,0.33,0.28,0.0,0,V-2023.12-SP4,326,237,89,24.28,7.95,16.33,31.0464,0.7819,0.27300613496932513,0.6725700164744645,0.79,0.36,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.263,0.07209,0.0002076,0.33530000000000004,0.33509,0.4188625,0.211,0.04654,1.4829999999999999e-05,0.2575,0.039279999999999995,0.007371,0.0001441,0.0468,0.01273,0.018179999999999998,4.868e-05,0.03096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-31T09:33:40+00:00
fifo_16_4_5nm_TT_0V7_25C_800MHz,fifo,width=16;depth=4,5nm,TT,0.7,25.0,1.25,800.0,16,4,V-2023.12-SP4,320,231,89,22.134,7.182,14.952,0.278125,0.6755218216318786,0.33,0.28,0.0,0,V-2023.12-SP4,326,237,89,24.28,7.95,16.33,31.0464,0.7819,0.27300613496932513,0.6725700164744645,0.79,0.36,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.2647,0.085,0.00020800000000000001,0.3499,0.3497,0.437125,0.2111,0.04654,1.4829999999999999e-05,0.2577,0.03336,0.004818,0.0001437,0.03832,0.02024,0.03365,4.947e-05,0.05393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-31T09:33:50+00:00
fifo_16_4_5nm_TT_0V7_25C_800MHz,fifo,width=16;depth=4,5nm,TT,0.7,25.0,1.25,800.0,16,4,V-2023.12-SP4,320,231,89,22.134,7.182,14.952,0.278125,0.6755218216318786,0.33,0.28,0.0,0,V-2023.12-SP4,326,237,89,24.28,7.95,16.33,31.0464,0.7819,0.27300613496932513,0.6725700164744645,0.79,0.36,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.2862,0.09332,0.00020800000000000001,0.37970000000000004,0.37952,0.47440000000000004,0.21139999999999998,0.04654,1.4829999999999999e-05,0.258,0.05059,0.007029,0.0001441,0.057769999999999995,0.02417,0.03976,4.907e-05,0.06398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,stream,2,2026-07-31T09:34:00+00:00
fifo_16_4_5nm_TT_0V7_25C_800MHz,fifo,width=16;depth=4,5nm,TT,0.7,25.0,1.25,800.0,16,4,V-2023.12-SP4,320,231,89,22.134,7.182,14.952,0.278125,0.6755218216318786,0.33,0.28,0.0,0,V-2023.12-SP4,326,237,89,24.28,7.95,16.33,31.0464,0.7819,0.27300613496932513,0.6725700164744645,0.79,0.36,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.2108,0.04654,0.00021150000000000002,0.2576,0.25734,0.32167500000000004,0.2108,0.04654,1.4829999999999999e-05,0.2574,0.0,0.0,0.00014549999999999999,0.00014549999999999999,0.0,0.0,5.122e-05,5.122e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,idle,2,2026-07-31T09:34:09+00:00
fifo_16_8_5nm_TT_0V7_25C_1333p33MHz,fifo,width=16;depth=8,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,8,V-2023.12-SP4,578,422,156,39.639599,13.4316,26.208,0.2698961937716263,0.6611570414725941,0.34,0.02,0.0,0,V-2023.12-SP4,586,430,156,42.42,13.73,28.69,55.44,0.7652,0.26621160409556316,0.6763319189061764,0.54,0.08,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.6819000000000001,0.1841,0.0003452,0.8663,0.8660000000000001,0.6495000000000001,0.5343,0.1175,4.099e-06,0.6518,0.11349999999999999,0.02242,0.00025269999999999996,0.13620000000000002,0.03404,0.04419,8.836e-05,0.07832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-31T09:38:19+00:00
fifo_16_8_5nm_TT_0V7_25C_1333p33MHz,fifo,width=16;depth=8,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,8,V-2023.12-SP4,578,422,156,39.639599,13.4316,26.208,0.2698961937716263,0.6611570414725941,0.34,0.02,0.0,0,V-2023.12-SP4,586,430,156,42.42,13.73,28.69,55.44,0.7652,0.26621160409556316,0.6763319189061764,0.54,0.08,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.6334,0.1875,0.0003471,0.8212999999999999,0.8209,0.615675,0.5347000000000001,0.1175,4.107e-06,0.6522,0.05837,0.008907,0.00025330000000000003,0.06752999999999999,0.040389999999999995,0.061149999999999996,8.965999999999999e-05,0.10160000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-31T09:38:32+00:00
