flow_run_id,rtl_name,arch_params,node,corner,vdd_V,temperature_C,clock_period_ns,clock_freq_mhz,a_width,b_width,out_width,pipeline_stages,dc_version,syn_total_cells,syn_comb_cells,syn_seq_cells,syn_total_area_um2,syn_comb_area_um2,syn_seq_area_um2,syn_scr,syn_sar,syn_crit_path_ns,syn_wns_ns,syn_tns_ns,syn_violating_paths,icc2_version,pnr_total_cells,pnr_comb_cells,pnr_seq_cells,pnr_total_area_um2,pnr_comb_area_um2,pnr_seq_area_um2,pnr_core_area_um2,pnr_utilization,pnr_scr,pnr_sar,pnr_crit_path_ns,pnr_wns_ns,pnr_tns_ns,pnr_violating_paths,starrc_version,pt_version,internal_power_mW,switching_power_mW,leak_power_mW,total_power_mW,dyn_power_mW,dyn_energy_pJ,clock_network_internal_power_mW,clock_network_switching_power_mW,clock_network_leak_power_mW,clock_network_total_power_mW,register_internal_power_mW,register_switching_power_mW,register_leak_power_mW,register_total_power_mW,combinational_internal_power_mW,combinational_switching_power_mW,combinational_leak_power_mW,combinational_total_power_mW,sequential_internal_power_mW,sequential_switching_power_mW,sequential_leak_power_mW,sequential_total_power_mW,memory_internal_power_mW,memory_switching_power_mW,memory_leak_power_mW,memory_total_power_mW,io_pad_internal_power_mW,io_pad_switching_power_mW,io_pad_leak_power_mW,io_pad_total_power_mW,black_box_internal_power_mW,black_box_switching_power_mW,black_box_leak_power_mW,black_box_total_power_mW,power_activity_mode,stim_mode,collector_schema,collected_at
intadd_4_4_4_3_10nm_TT_0V8_25C_1333p33MHz,intadd,a_width=4;b_width=4;out_width=4;pipeline_stages=3,10nm,TT,0.8,25.0,0.75,1333.3333333333333,4,4,4,3,V-2023.12-SP4,44,25,19,15.882241,4.20864,11.673601,0.4318181818181818,0.7350096878645778,0.02,0.34,0.0,0,V-2023.12-SP4,44,25,19,15.88,4.21,11.67,21.7498,0.7302,0.4318181818181818,0.7348866498740554,0.2,0.34,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.11510000000000001,0.006471,4.114e-05,0.1216,0.12157100000000001,0.09117825000000002,0.0892,0.0,0.0,0.0892,0.01672,0.0024839999999999997,2.782e-05,0.01923,0.009182,0.003987,1.331e-05,0.013179999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T03:02:02+00:00
intadd_4_4_4_3_5nm_TT_0V7_25C_2000MHz,intadd,a_width=4;b_width=4;out_width=4;pipeline_stages=3,5nm,TT,0.7,25.0,0.5,2000.0,4,4,4,3,V-2023.12-SP4,44,25,19,4.494,1.302,3.192,0.4318181818181818,0.7102803738317758,0.14,0.14,0.0,0,V-2023.12-SP4,44,25,19,4.49,1.3,3.19,6.3,0.7133,0.4318181818181818,0.710467706013363,0.07,0.22,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1205,0.008052,4.481e-05,0.12860000000000002,0.128552,0.064276,0.09179,0.0,0.0,0.09179,0.01838,0.0029340000000000004,3.502e-05,0.02135,0.01038,0.005118,9.788999999999999e-06,0.0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T03:02:03+00:00
intadd_4_4_4_2_16nm_TT_0V85_25C_1333p33MHz,intadd,a_width=4;b_width=4;out_width=4;pipeline_stages=2,16nm,TT,0.85,25.0,0.75,1333.3333333333333,4,4,4,2,V-2023.12-SP4,38,26,12,21.337345,6.407424,14.929921,0.3157894736842105,0.6997084688840154,0.43,0.08,0.0,0,V-2023.12-SP4,38,26,12,21.46,6.41,15.05,28.5535,0.7516,0.3157894736842105,0.701304753028891,0.21,0.31,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1004,0.007467,7.277999999999999e-05,0.108,0.107867,0.08090025,0.07743,0.0,0.0,0.07743,0.01514,0.0018479999999999998,6.230999999999999e-05,0.017050000000000003,0.007866,0.00562,1.0460000000000001e-05,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T03:02:03+00:00
intadd_4_4_4_2_20nm_TT_0V9_25C_666p667MHz,intadd,a_width=4;b_width=4;out_width=4;pipeline_stages=2,20nm,TT,0.9,25.0,1.5,666.6666666666666,4,4,4,2,V-2023.12-SP4,38,26,12,36.2208,10.8768,25.344,0.3157894736842105,0.6997084548104957,0.05,0.66,0.0,0,V-2023.12-SP4,38,26,12,36.22,10.88,25.34,45.6192,0.794,0.3157894736842105,0.699613473219216,0.6,0.66,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.06092,0.004013,3.072e-05,0.06497,0.064933,0.0973995,0.04728,0.0,0.0,0.04728,0.009034,0.0009716,1.8180000000000002e-05,0.010020000000000001,0.004606,0.0030410000000000003,1.253e-05,0.007659999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T03:02:03+00:00
intadd_4_4_4_3_16nm_TT_0V85_25C_1333p33MHz,intadd,a_width=4;b_width=4;out_width=4;pipeline_stages=3,16nm,TT,0.85,25.0,0.75,1333.3333333333333,4,4,4,3,V-2023.12-SP4,44,25,19,32.161537,8.522496,23.639041,0.4318181818181818,0.7350096794192391,0.32,0.2,0.0,0,V-2023.12-SP4,44,25,19,32.66,8.52,24.14,42.4259,0.7698,0.4318181818181818,0.7391304347826088,0.21,0.31,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.158,0.007762,0.0001005,0.1658,0.165762,0.1243215,0.12210000000000001,0.0,0.0,0.12210000000000001,0.02394,0.002926,8.69e-05,0.026959999999999998,0.01188,0.004835,1.361e-05,0.016730000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T03:02:03+00:00
intadd_4_4_4_2_20nm_TT_0V9_25C_1000MHz,intadd,a_width=4;b_width=4;out_width=4;pipeline_stages=2,20nm,TT,0.9,25.0,1.0,1000.0,4,4,4,2,V-2023.12-SP4,38,26,12,36.2208,10.8768,25.344,0.3157894736842105,0.6997084548104957,0.54,0.22,0.0,0,V-2023.12-SP4,38,26,12,36.22,10.88,25.34,45.6192,0.794,0.3157894736842105,0.699613473219216,0.35,0.41,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.09139,0.006019,3.072e-05,0.09744,0.097409,0.097409,0.07093,0.0,0.0,0.07093,0.013550000000000001,0.001457,1.8180000000000002e-05,0.01503,0.006909,0.004562,1.253e-05,0.01148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T03:02:03+00:00
intadd_4_4_4_3_20nm_TT_0V9_25C_1333p33MHz,intadd,a_width=4;b_width=4;out_width=4;pipeline_stages=3,20nm,TT,0.9,25.0,0.75,1333.3333333333333,4,4,4,3,V-2023.12-SP4,44,25,19,54.5952,14.4672,40.128,0.4318181818181818,0.7350096711798839,0.47,0.05,0.0,0,V-2023.12-SP4,44,25,19,54.6,14.47,40.13,76.6656,0.7121,0.4318181818181818,0.734981684981685,0.23,0.28,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1913,0.00886,4.4999999999999996e-05,0.2002,0.20016,0.15012,0.1495,0.0,0.0,0.1495,0.027549999999999998,0.003327,2.8760000000000002e-05,0.0309,0.01424,0.005533000000000001,1.6239999999999997e-05,0.01979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T03:02:04+00:00
intadd_4_4_4_2_16nm_TT_0V85_25C_800MHz,intadd,a_width=4;b_width=4;out_width=4;pipeline_stages=2,16nm,TT,0.85,25.0,1.25,800.0,4,4,4,2,V-2023.12-SP4,38,26,12,21.337345,6.407424,14.929921,0.3157894736842105,0.6997084688840154,0.04,0.56,0.0,0,V-2023.12-SP4,38,26,12,21.46,6.41,15.05,28.5535,0.7516,0.3157894736842105,0.701304753028891,0.46,0.56,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.06026,0.0044800000000000005,7.277999999999999e-05,0.06480999999999999,0.06474,0.08092500000000001,0.04646,0.0,0.0,0.04646,0.009086,0.0011090000000000002,6.230999999999999e-05,0.01026,0.004719999999999999,0.003372,1.0460000000000001e-05,0.008102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T03:02:04+00:00
intadd_4_4_4_2_5nm_TT_0V7_25C_1333p33MHz,intadd,a_width=4;b_width=4;out_width=4;pipeline_stages=2,5nm,TT,0.7,25.0,0.75,1333.3333333333333,4,4,4,2,V-2023.12-SP4,39,27,12,2.94,0.924,2.016,0.3076923076923077,0.6857142857142857,0.2,0.33,0.0,0,V-2023.12-SP4,39,27,12,2.94,0.92,2.02,4.032,0.7292,0.3076923076923077,0.6870748299319728,0.19,0.34,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.05155,0.0052569999999999995,2.89e-05,0.056839999999999995,0.056806999999999996,0.04260525,0.03882,0.0,0.0,0.03882,0.008042,0.001333,2.21e-05,0.009397,0.004694,0.003924,6.802e-06,0.008624999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T03:02:05+00:00
intadd_4_4_4_2_5nm_TT_0V7_25C_1000MHz,intadd,a_width=4;b_width=4;out_width=4;pipeline_stages=2,5nm,TT,0.7,25.0,1.0,1000.0,4,4,4,2,V-2023.12-SP4,39,27,12,2.94,0.924,2.016,0.3076923076923077,0.6857142857142857,0.02,0.47,0.0,0,V-2023.12-SP4,39,27,12,2.94,0.92,2.02,4.032,0.7292,0.3076923076923077,0.6870748299319728,0.32,0.47,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.03866,0.003959,2.89e-05,0.04265,0.042619,0.042619,0.02911,0.0,0.0,0.02911,0.006032,0.0010049999999999998,2.21e-05,0.007058999999999999,0.003519,0.002954,6.802e-06,0.00648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T03:02:05+00:00
