flow_run_id,rtl_name,arch_params,node,corner,vdd_V,temperature_C,clock_period_ns,clock_freq_mhz,a_width,b_width,out_width,pipeline_stages,dc_version,syn_total_cells,syn_comb_cells,syn_seq_cells,syn_total_area_um2,syn_comb_area_um2,syn_seq_area_um2,syn_scr,syn_sar,syn_crit_path_ns,syn_wns_ns,syn_tns_ns,syn_violating_paths,icc2_version,pnr_total_cells,pnr_comb_cells,pnr_seq_cells,pnr_total_area_um2,pnr_comb_area_um2,pnr_seq_area_um2,pnr_core_area_um2,pnr_utilization,pnr_scr,pnr_sar,pnr_crit_path_ns,pnr_wns_ns,pnr_tns_ns,pnr_violating_paths,starrc_version,pt_version,internal_power_mW,switching_power_mW,leak_power_mW,total_power_mW,dyn_power_mW,dyn_energy_pJ,clock_network_internal_power_mW,clock_network_switching_power_mW,clock_network_leak_power_mW,clock_network_total_power_mW,register_internal_power_mW,register_switching_power_mW,register_leak_power_mW,register_total_power_mW,combinational_internal_power_mW,combinational_switching_power_mW,combinational_leak_power_mW,combinational_total_power_mW,sequential_internal_power_mW,sequential_switching_power_mW,sequential_leak_power_mW,sequential_total_power_mW,memory_internal_power_mW,memory_switching_power_mW,memory_leak_power_mW,memory_total_power_mW,io_pad_internal_power_mW,io_pad_switching_power_mW,io_pad_leak_power_mW,io_pad_total_power_mW,black_box_internal_power_mW,black_box_switching_power_mW,black_box_leak_power_mW,black_box_total_power_mW,power_activity_mode,stim_mode,collector_schema,collected_at
intmul_4_4_8_2_10nm_TT_0V8_25C_1333p33MHz,intmul,a_width=4;b_width=4;out_width=8;pipeline_stages=2,10nm,TT,0.8,25.0,0.75,1333.3333333333333,4,4,8,2,V-2023.12-SP4,122,104,18,24.913921,13.85472,11.059201,0.14754098360655737,0.44389644648869203,0.43,0.1,0.0,0,V-2023.12-SP4,117,99,18,24.55,13.49,11.06,34.0992,0.7198,0.15384615384615385,0.4505091649694501,0.25,0.28,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1179,0.02476,5.938e-05,0.1427,0.14266,0.106995,0.08479,0.0,0.0,0.08479,0.01552,0.005135,2.588e-05,0.020679999999999997,0.017580000000000002,0.01962,3.35e-05,0.03724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T04:37:31+00:00
intmul_4_4_8_2_10nm_TT_0V8_25C_1333p33MHz,intmul,a_width=4;b_width=4;out_width=8;pipeline_stages=2,10nm,TT,0.8,25.0,0.75,1333.3333333333333,4,4,8,2,V-2023.12-SP4,122,104,18,24.913921,13.85472,11.059201,0.14754098360655737,0.44389644648869203,0.43,0.1,0.0,0,V-2023.12-SP4,117,99,18,24.55,13.49,11.06,34.0992,0.7198,0.15384615384615385,0.4505091649694501,0.25,0.28,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1353,0.0322,6.242e-05,0.1676,0.1675,0.12562500000000001,0.08474000000000001,0.0,0.0,0.08474000000000001,0.02779,0.01023,2.707e-05,0.03805,0.022779999999999998,0.02196,3.5350000000000005e-05,0.04478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T04:37:38+00:00
intmul_4_4_8_2_10nm_TT_0V8_25C_800MHz,intmul,a_width=4;b_width=4;out_width=8;pipeline_stages=2,10nm,TT,0.8,25.0,1.25,800.0,4,4,8,2,V-2023.12-SP4,122,104,18,24.913921,13.85472,11.059201,0.14754098360655737,0.44389644648869203,0.07,0.53,0.0,0,V-2023.12-SP4,117,99,18,24.55,13.49,11.06,34.0992,0.7198,0.15384615384615385,0.4505091649694501,0.51,0.53,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.07081,0.01487,5.938e-05,0.08574,0.08567999999999999,0.10709999999999999,0.050890000000000005,0.0,0.0,0.050890000000000005,0.009321,0.003089,2.588e-05,0.01244,0.0106,0.01178,3.35e-05,0.02241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T04:37:43+00:00
intmul_4_4_8_2_10nm_TT_0V8_25C_800MHz,intmul,a_width=4;b_width=4;out_width=8;pipeline_stages=2,10nm,TT,0.8,25.0,1.25,800.0,4,4,8,2,V-2023.12-SP4,122,104,18,24.913921,13.85472,11.059201,0.14754098360655737,0.44389644648869203,0.07,0.53,0.0,0,V-2023.12-SP4,117,99,18,24.55,13.49,11.06,34.0992,0.7198,0.15384615384615385,0.4505091649694501,0.51,0.53,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.08132,0.01926,6.24e-05,0.10060000000000001,0.10058,0.125725,0.050859999999999995,0.0,0.0,0.050859999999999995,0.0167,0.006151,2.706e-05,0.02288,0.01376,0.01311,3.534e-05,0.0269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T04:37:51+00:00
intmul_4_4_8_3_10nm_TT_0V8_25C_1333p33MHz,intmul,a_width=4;b_width=4;out_width=8;pipeline_stages=3,10nm,TT,0.8,25.0,0.75,1333.3333333333333,4,4,8,3,V-2023.12-SP4,137,106,31,33.669121,14.62272,19.046401,0.22627737226277372,0.5656934435561891,0.33,0.21,0.0,0,V-2023.12-SP4,137,106,31,33.64,14.59,19.05,47.5546,0.7074,0.22627737226277372,0.5662901307966707,0.25,0.28,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1908,0.027399999999999997,8.133e-05,0.2183,0.2182,0.16365000000000002,0.1449,0.0,0.0,0.1449,0.02634,0.007391,4.4869999999999996e-05,0.033769999999999994,0.01958,0.02001,3.646e-05,0.03963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T04:39:29+00:00
intmul_4_4_8_3_10nm_TT_0V8_25C_1333p33MHz,intmul,a_width=4;b_width=4;out_width=8;pipeline_stages=3,10nm,TT,0.8,25.0,0.75,1333.3333333333333,4,4,8,3,V-2023.12-SP4,137,106,31,33.669121,14.62272,19.046401,0.22627737226277372,0.5656934435561891,0.33,0.21,0.0,0,V-2023.12-SP4,137,106,31,33.64,14.59,19.05,47.5546,0.7074,0.22627737226277372,0.5662901307966707,0.25,0.28,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.21589999999999998,0.03692,8.474e-05,0.2529,0.25282,0.18961499999999998,0.14479999999999998,0.0,0.0,0.14479999999999998,0.04552,0.01371,4.643e-05,0.05928,0.02551,0.023209999999999998,3.8299999999999996e-05,0.04875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T04:39:35+00:00
intmul_4_4_8_3_10nm_TT_0V8_25C_800MHz,intmul,a_width=4;b_width=4;out_width=8;pipeline_stages=3,10nm,TT,0.8,25.0,1.25,800.0,4,4,8,3,V-2023.12-SP4,137,106,31,33.669121,14.62272,19.046401,0.22627737226277372,0.5656934435561891,0.07,0.53,0.0,0,V-2023.12-SP4,137,106,31,33.64,14.59,19.05,47.5546,0.7074,0.22627737226277372,0.5662901307966707,0.5,0.53,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1145,0.01634,8.132e-05,0.131,0.13084,0.16355000000000003,0.08703,0.0,0.0,0.08703,0.0158,0.00443,4.4869999999999996e-05,0.02027,0.01172,0.011909999999999999,3.645e-05,0.02366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T04:39:51+00:00
intmul_4_4_8_3_10nm_TT_0V8_25C_800MHz,intmul,a_width=4;b_width=4;out_width=8;pipeline_stages=3,10nm,TT,0.8,25.0,1.25,800.0,4,4,8,3,V-2023.12-SP4,137,106,31,33.669121,14.62272,19.046401,0.22627737226277372,0.5656934435561891,0.07,0.53,0.0,0,V-2023.12-SP4,137,106,31,33.64,14.59,19.05,47.5546,0.7074,0.22627737226277372,0.5662901307966707,0.5,0.53,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1298,0.022189999999999998,8.471999999999999e-05,0.1521,0.15199,0.18998749999999998,0.08699000000000001,0.0,0.0,0.08699000000000001,0.02741,0.008235,4.643e-05,0.03569,0.01545,0.01395,3.829e-05,0.02943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T04:39:57+00:00
intmul_4_4_8_5_10nm_TT_0V8_25C_1333p33MHz,intmul,a_width=4;b_width=4;out_width=8;pipeline_stages=5,10nm,TT,0.8,25.0,0.75,1333.3333333333333,4,4,8,5,V-2023.12-SP4,194,138,56,52.408322,18.00192,34.406402,0.28865979381443296,0.6565064609395431,0.25,0.28,0.0,0,V-2023.12-SP4,191,135,56,52.29,17.88,34.41,72.9907,0.7163,0.2931937172774869,0.6580608146873207,0.26,0.28,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.3407,0.04019,0.0001329,0.3811,0.38089,0.2856675,0.2627,0.0,0.0,0.2627,0.04709,0.01111,8.142e-05,0.05828,0.030929999999999996,0.029079999999999998,5.152e-05,0.060059999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T04:40:05+00:00
intmul_4_4_8_5_10nm_TT_0V8_25C_1333p33MHz,intmul,a_width=4;b_width=4;out_width=8;pipeline_stages=5,10nm,TT,0.8,25.0,0.75,1333.3333333333333,4,4,8,5,V-2023.12-SP4,194,138,56,52.408322,18.00192,34.406402,0.28865979381443296,0.6565064609395431,0.25,0.28,0.0,0,V-2023.12-SP4,191,135,56,52.29,17.88,34.41,72.9907,0.7163,0.2931937172774869,0.6580608146873207,0.26,0.28,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.379,0.045720000000000004,0.00013879999999999999,0.4248,0.42472,0.31854,0.2626,0.0,0.0,0.2626,0.07959999999999999,0.01974,8.382000000000001e-05,0.09942,0.03678,0.02598,5.4959999999999996e-05,0.06281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T04:40:12+00:00
