flow_run_id,rtl_name,arch_params,node,corner,vdd_V,temperature_C,clock_period_ns,clock_freq_mhz,width,depth,num_read_ports,num_write_ports,dc_version,syn_total_cells,syn_comb_cells,syn_seq_cells,syn_total_area_um2,syn_comb_area_um2,syn_seq_area_um2,syn_scr,syn_sar,syn_crit_path_ns,syn_wns_ns,syn_tns_ns,syn_violating_paths,icc2_version,pnr_total_cells,pnr_comb_cells,pnr_seq_cells,pnr_total_area_um2,pnr_comb_area_um2,pnr_seq_area_um2,pnr_core_area_um2,pnr_utilization,pnr_scr,pnr_sar,pnr_crit_path_ns,pnr_wns_ns,pnr_tns_ns,pnr_violating_paths,starrc_version,pt_version,internal_power_mW,switching_power_mW,leak_power_mW,total_power_mW,dyn_power_mW,dyn_energy_pJ,clock_network_internal_power_mW,clock_network_switching_power_mW,clock_network_leak_power_mW,clock_network_total_power_mW,register_internal_power_mW,register_switching_power_mW,register_leak_power_mW,register_total_power_mW,combinational_internal_power_mW,combinational_switching_power_mW,combinational_leak_power_mW,combinational_total_power_mW,sequential_internal_power_mW,sequential_switching_power_mW,sequential_leak_power_mW,sequential_total_power_mW,memory_internal_power_mW,memory_switching_power_mW,memory_leak_power_mW,memory_total_power_mW,io_pad_internal_power_mW,io_pad_switching_power_mW,io_pad_leak_power_mW,io_pad_total_power_mW,black_box_internal_power_mW,black_box_switching_power_mW,black_box_leak_power_mW,black_box_total_power_mW,power_activity_mode,stim_mode,collector_schema,collected_at
regfile_8_1_1_1_5nm_TT_0V7_25C_2000MHz,regfile,width=8;depth=1;num_read_ports=1;num_write_ports=1,5nm,TT,0.7,25.0,0.5,2000.0,8,1,1,1,V-2023.12-SP4,27,19,8,1.9404,0.5964,1.344,0.2962962962962963,0.6926406926406927,0.12,0.11,0.0,0,V-2023.12-SP4,27,19,8,2.07,0.6,1.48,2.4948,0.8316,0.2962962962962963,0.7149758454106281,0.18,0.1,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.05241,0.006699,1.681e-05,0.059129999999999995,0.059108999999999995,0.029554499999999997,0.03863,0.0,0.0,0.03863,0.010010000000000002,0.001768,1.297e-05,0.01179,0.003774,0.004932000000000001,3.842e-06,0.008709999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-31T02:58:51+00:00
regfile_8_1_1_1_5nm_TT_0V7_25C_2000MHz,regfile,width=8;depth=1;num_read_ports=1;num_write_ports=1,5nm,TT,0.7,25.0,0.5,2000.0,8,1,1,1,V-2023.12-SP4,27,19,8,1.9404,0.5964,1.344,0.2962962962962963,0.6926406926406927,0.12,0.11,0.0,0,V-2023.12-SP4,27,19,8,2.07,0.6,1.48,2.4948,0.8316,0.2962962962962963,0.7149758454106281,0.18,0.1,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.056889999999999996,0.009086,1.753e-05,0.066,0.06597599999999999,0.032987999999999996,0.03863,0.0,0.0,0.03863,0.01319,0.002086,1.299e-05,0.015290000000000002,0.005075,0.006999,4.538e-06,0.012079999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-31T02:59:00+00:00
regfile_8_1_1_1_5nm_TT_0V7_25C_2000MHz,regfile,width=8;depth=1;num_read_ports=1;num_write_ports=1,5nm,TT,0.7,25.0,0.5,2000.0,8,1,1,1,V-2023.12-SP4,27,19,8,1.9404,0.5964,1.344,0.2962962962962963,0.6926406926406927,0.12,0.11,0.0,0,V-2023.12-SP4,27,19,8,2.07,0.6,1.48,2.4948,0.8316,0.2962962962962963,0.7149758454106281,0.18,0.1,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.03892,0.0,1.736e-05,0.03893,0.03892,0.01946,0.03892,0.0,0.0,0.03892,0.0,0.0,1.345e-05,1.345e-05,0.0,0.0,3.913e-06,3.913e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,read,2,2026-07-31T02:59:09+00:00
regfile_8_1_1_1_5nm_TT_0V7_25C_2000MHz,regfile,width=8;depth=1;num_read_ports=1;num_write_ports=1,5nm,TT,0.7,25.0,0.5,2000.0,8,1,1,1,V-2023.12-SP4,27,19,8,1.9404,0.5964,1.344,0.2962962962962963,0.6926406926406927,0.12,0.11,0.0,0,V-2023.12-SP4,27,19,8,2.07,0.6,1.48,2.4948,0.8316,0.2962962962962963,0.7149758454106281,0.18,0.1,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.06499999999999999,0.006462,1.765e-05,0.07148,0.07146199999999998,0.03573099999999999,0.03862,0.0,0.0,0.03862,0.02127,0.004424,1.297e-05,0.0257,0.005114,0.002037,4.68e-06,0.007156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,write,2,2026-07-31T02:59:16+00:00
regfile_8_1_1_1_5nm_TT_0V7_25C_2000MHz,regfile,width=8;depth=1;num_read_ports=1;num_write_ports=1,5nm,TT,0.7,25.0,0.5,2000.0,8,1,1,1,V-2023.12-SP4,27,19,8,1.9404,0.5964,1.344,0.2962962962962963,0.6926406926406927,0.12,0.11,0.0,0,V-2023.12-SP4,27,19,8,2.07,0.6,1.48,2.4948,0.8316,0.2962962962962963,0.7149758454106281,0.18,0.1,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.03892,0.0,1.736e-05,0.03893,0.03892,0.01946,0.03892,0.0,0.0,0.03892,0.0,0.0,1.345e-05,1.345e-05,0.0,0.0,3.913e-06,3.913e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,idle,2,2026-07-31T02:59:23+00:00
regfile_8_1_1_1_5nm_TT_0V7_25C_1333p33MHz,regfile,width=8;depth=1;num_read_ports=1;num_write_ports=1,5nm,TT,0.7,25.0,0.75,1333.3333333333333,8,1,1,1,V-2023.12-SP4,27,19,8,1.9404,0.5964,1.344,0.2962962962962963,0.6926406926406927,0.12,0.23,0.0,0,V-2023.12-SP4,27,19,8,2.07,0.6,1.48,2.4948,0.8316,0.2962962962962963,0.7149758454106281,0.3,0.23,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.03494,0.004458,1.681e-05,0.03942,0.039398,0.029548500000000002,0.02575,0.0,0.0,0.02575,0.006673,0.0011769999999999999,1.297e-05,0.007863,0.002516,0.003281,3.842e-06,0.005801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-31T03:02:11+00:00
regfile_8_1_1_1_5nm_TT_0V7_25C_1333p33MHz,regfile,width=8;depth=1;num_read_ports=1;num_write_ports=1,5nm,TT,0.7,25.0,0.75,1333.3333333333333,8,1,1,1,V-2023.12-SP4,27,19,8,1.9404,0.5964,1.344,0.2962962962962963,0.6926406926406927,0.12,0.23,0.0,0,V-2023.12-SP4,27,19,8,2.07,0.6,1.48,2.4948,0.8316,0.2962962962962963,0.7149758454106281,0.3,0.23,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.03793,0.006045,1.752e-05,0.043989999999999994,0.043975,0.032981250000000004,0.02575,0.0,0.0,0.02575,0.008793,0.001389,1.299e-05,0.0102,0.0033840000000000003,0.0046559999999999995,4.538e-06,0.008045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-31T03:02:19+00:00
regfile_8_1_1_1_5nm_TT_0V7_25C_1333p33MHz,regfile,width=8;depth=1;num_read_ports=1;num_write_ports=1,5nm,TT,0.7,25.0,0.75,1333.3333333333333,8,1,1,1,V-2023.12-SP4,27,19,8,1.9404,0.5964,1.344,0.2962962962962963,0.6926406926406927,0.12,0.23,0.0,0,V-2023.12-SP4,27,19,8,2.07,0.6,1.48,2.4948,0.8316,0.2962962962962963,0.7149758454106281,0.3,0.23,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.025939999999999998,0.0,1.736e-05,0.02596,0.025939999999999998,0.019455,0.025939999999999998,0.0,0.0,0.025939999999999998,0.0,0.0,1.345e-05,1.345e-05,0.0,0.0,3.913e-06,3.913e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,read,2,2026-07-31T03:02:26+00:00
regfile_8_1_1_1_5nm_TT_0V7_25C_1333p33MHz,regfile,width=8;depth=1;num_read_ports=1;num_write_ports=1,5nm,TT,0.7,25.0,0.75,1333.3333333333333,8,1,1,1,V-2023.12-SP4,27,19,8,1.9404,0.5964,1.344,0.2962962962962963,0.6926406926406927,0.12,0.23,0.0,0,V-2023.12-SP4,27,19,8,2.07,0.6,1.48,2.4948,0.8316,0.2962962962962963,0.7149758454106281,0.3,0.23,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.04333,0.004301,1.766e-05,0.04765,0.047631,0.03572325,0.02575,0.0,0.0,0.02575,0.01418,0.002946,1.297e-05,0.01714,0.0034089999999999997,0.001356,4.685e-06,0.004769000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,write,2,2026-07-31T03:02:35+00:00
regfile_8_1_1_1_5nm_TT_0V7_25C_1333p33MHz,regfile,width=8;depth=1;num_read_ports=1;num_write_ports=1,5nm,TT,0.7,25.0,0.75,1333.3333333333333,8,1,1,1,V-2023.12-SP4,27,19,8,1.9404,0.5964,1.344,0.2962962962962963,0.6926406926406927,0.12,0.23,0.0,0,V-2023.12-SP4,27,19,8,2.07,0.6,1.48,2.4948,0.8316,0.2962962962962963,0.7149758454106281,0.3,0.23,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.025939999999999998,0.0,1.736e-05,0.02596,0.025939999999999998,0.019455,0.025939999999999998,0.0,0.0,0.025939999999999998,0.0,0.0,1.345e-05,1.345e-05,0.0,0.0,3.913e-06,3.913e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,idle,2,2026-07-31T03:02:43+00:00
