flow_run_id,rtl_name,arch_params,node,corner,vdd_V,temperature_C,clock_period_ns,clock_freq_mhz,data_width,num_inputs,dc_version,syn_total_cells,syn_comb_cells,syn_seq_cells,syn_total_area_um2,syn_comb_area_um2,syn_seq_area_um2,syn_scr,syn_sar,syn_crit_path_ns,syn_wns_ns,syn_tns_ns,syn_violating_paths,icc2_version,pnr_total_cells,pnr_comb_cells,pnr_seq_cells,pnr_total_area_um2,pnr_comb_area_um2,pnr_seq_area_um2,pnr_core_area_um2,pnr_utilization,pnr_scr,pnr_sar,pnr_crit_path_ns,pnr_wns_ns,pnr_tns_ns,pnr_violating_paths,starrc_version,pt_version,internal_power_mW,switching_power_mW,leak_power_mW,total_power_mW,dyn_power_mW,dyn_energy_pJ,clock_network_internal_power_mW,clock_network_switching_power_mW,clock_network_leak_power_mW,clock_network_total_power_mW,register_internal_power_mW,register_switching_power_mW,register_leak_power_mW,register_total_power_mW,combinational_internal_power_mW,combinational_switching_power_mW,combinational_leak_power_mW,combinational_total_power_mW,sequential_internal_power_mW,sequential_switching_power_mW,sequential_leak_power_mW,sequential_total_power_mW,memory_internal_power_mW,memory_switching_power_mW,memory_leak_power_mW,memory_total_power_mW,io_pad_internal_power_mW,io_pad_switching_power_mW,io_pad_leak_power_mW,io_pad_total_power_mW,black_box_internal_power_mW,black_box_switching_power_mW,black_box_leak_power_mW,black_box_total_power_mW,power_activity_mode,stim_mode,collector_schema,collected_at
simplemux_16_2_5nm_TT_0V7_25C_2000MHz,simplemux,data_width=16;num_inputs=2,5nm,TT,0.7,25.0,0.5,2000.0,16,2,V-2023.12-SP4,35,35,0,1.0248,1.0248,0.0,0.0,0.0,0.12,0.18,0.0,0,V-2023.12-SP4,35,35,0,1.02,1.02,0.0,1.4112,0.7262,0.0,0.0,0.13,0.17,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.01003,0.008435,7.058e-06,0.01847,0.018465000000000002,0.009232500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01003,0.008435,7.058e-06,0.01847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-31T14:05:20+00:00
simplemux_16_2_5nm_TT_0V7_25C_2000MHz,simplemux,data_width=16;num_inputs=2,5nm,TT,0.7,25.0,0.5,2000.0,16,2,V-2023.12-SP4,35,35,0,1.0248,1.0248,0.0,0.0,0.0,0.12,0.18,0.0,0,V-2023.12-SP4,35,35,0,1.02,1.02,0.0,1.4112,0.7262,0.0,0.0,0.13,0.17,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.01027,0.005207000000000001,7.11e-06,0.015489999999999999,0.015477000000000001,0.007738500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01027,0.005207000000000001,7.11e-06,0.015489999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-31T14:05:28+00:00
simplemux_16_2_5nm_TT_0V7_25C_2000MHz,simplemux,data_width=16;num_inputs=2,5nm,TT,0.7,25.0,0.5,2000.0,16,2,V-2023.12-SP4,35,35,0,1.0248,1.0248,0.0,0.0,0.0,0.12,0.18,0.0,0,V-2023.12-SP4,35,35,0,1.02,1.02,0.0,1.4112,0.7262,0.0,0.0,0.13,0.17,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.007221,0.0067020000000000005,6.988000000000001e-06,0.01393,0.013923000000000001,0.006961500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007221,0.0067020000000000005,6.988000000000001e-06,0.01393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,valid25,2,2026-07-31T14:05:37+00:00
simplemux_16_2_5nm_TT_0V7_25C_1333p33MHz,simplemux,data_width=16;num_inputs=2,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,2,V-2023.12-SP4,35,35,0,1.0248,1.0248,0.0,0.0,0.0,0.12,0.43,0.0,0,V-2023.12-SP4,35,35,0,1.02,1.02,0.0,1.4112,0.7262,0.0,0.0,0.13,0.42,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.006688,0.005624,7.058e-06,0.012320000000000001,0.012312,0.009234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006688,0.005624,7.058e-06,0.012320000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-31T14:08:29+00:00
simplemux_16_2_5nm_TT_0V7_25C_1333p33MHz,simplemux,data_width=16;num_inputs=2,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,2,V-2023.12-SP4,35,35,0,1.0248,1.0248,0.0,0.0,0.0,0.12,0.43,0.0,0,V-2023.12-SP4,35,35,0,1.02,1.02,0.0,1.4112,0.7262,0.0,0.0,0.13,0.42,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.006849,0.0034709999999999997,7.11e-06,0.010329999999999999,0.01032,0.0077399999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006849,0.0034709999999999997,7.11e-06,0.010329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-31T14:08:42+00:00
simplemux_16_2_5nm_TT_0V7_25C_1333p33MHz,simplemux,data_width=16;num_inputs=2,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,2,V-2023.12-SP4,35,35,0,1.0248,1.0248,0.0,0.0,0.0,0.12,0.43,0.0,0,V-2023.12-SP4,35,35,0,1.02,1.02,0.0,1.4112,0.7262,0.0,0.0,0.13,0.42,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.004811,0.004468000000000001,6.9910000000000005e-06,0.009286,0.009279,0.00695925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004811,0.004468000000000001,6.9910000000000005e-06,0.009286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,valid25,2,2026-07-31T14:08:53+00:00
simplemux_16_4_5nm_TT_0V7_25C_1333p33MHz,simplemux,data_width=16;num_inputs=4,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,4,V-2023.12-SP4,59,59,0,2.0244,2.0244,0.0,0.0,0.0,0.22,0.33,0.0,0,V-2023.12-SP4,59,59,0,2.03,2.03,0.0,2.856,0.7118,0.0,0.0,0.21,0.34,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.011049999999999999,0.01096,1.3739999999999999e-05,0.022019999999999998,0.02201,0.016507499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011049999999999999,0.01096,1.3739999999999999e-05,0.022019999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-31T14:12:11+00:00
simplemux_16_4_5nm_TT_0V7_25C_1333p33MHz,simplemux,data_width=16;num_inputs=4,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,4,V-2023.12-SP4,59,59,0,2.0244,2.0244,0.0,0.0,0.0,0.22,0.33,0.0,0,V-2023.12-SP4,59,59,0,2.03,2.03,0.0,2.856,0.7118,0.0,0.0,0.21,0.34,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.007822,0.0036950000000000004,1.358e-05,0.01153,0.011517000000000001,0.008637750000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007822,0.0036950000000000004,1.358e-05,0.01153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-31T14:12:23+00:00
simplemux_16_4_5nm_TT_0V7_25C_1333p33MHz,simplemux,data_width=16;num_inputs=4,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,4,V-2023.12-SP4,59,59,0,2.0244,2.0244,0.0,0.0,0.0,0.22,0.33,0.0,0,V-2023.12-SP4,59,59,0,2.03,2.03,0.0,2.856,0.7118,0.0,0.0,0.21,0.34,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.009528,0.010190000000000001,1.406e-05,0.019729999999999998,0.019718,0.0147885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009528,0.010190000000000001,1.406e-05,0.019729999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,valid25,2,2026-07-31T14:12:36+00:00
simplemux_16_4_5nm_TT_0V7_25C_1000MHz,simplemux,data_width=16;num_inputs=4,5nm,TT,0.7,25.0,1.0,1000.0,16,4,V-2023.12-SP4,59,59,0,2.0244,2.0244,0.0,0.0,0.0,0.22,0.58,0.0,0,V-2023.12-SP4,59,59,0,2.03,2.03,0.0,2.856,0.7118,0.0,0.0,0.21,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.008284999999999999,0.008279,1.3739999999999999e-05,0.01658,0.016564,0.016564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008284999999999999,0.008279,1.3739999999999999e-05,0.01658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-31T14:15:38+00:00
simplemux_16_4_5nm_TT_0V7_25C_1000MHz,simplemux,data_width=16;num_inputs=4,5nm,TT,0.7,25.0,1.0,1000.0,16,4,V-2023.12-SP4,59,59,0,2.0244,2.0244,0.0,0.0,0.0,0.22,0.58,0.0,0,V-2023.12-SP4,59,59,0,2.03,2.03,0.0,2.856,0.7118,0.0,0.0,0.21,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.005867,0.002781,1.358e-05,0.008662,0.008648,0.008648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005867,0.002781,1.358e-05,0.008662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-31T14:15:48+00:00
simplemux_16_4_5nm_TT_0V7_25C_1000MHz,simplemux,data_width=16;num_inputs=4,5nm,TT,0.7,25.0,1.0,1000.0,16,4,V-2023.12-SP4,59,59,0,2.0244,2.0244,0.0,0.0,0.0,0.22,0.58,0.0,0,V-2023.12-SP4,59,59,0,2.03,2.03,0.0,2.856,0.7118,0.0,0.0,0.21,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.007145,0.0077009999999999995,1.406e-05,0.01486,0.014846,0.014846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007145,0.0077009999999999995,1.406e-05,0.01486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,valid25,2,2026-07-31T14:15:59+00:00
simplemux_16_8_5nm_TT_0V7_25C_1333p33MHz,simplemux,data_width=16;num_inputs=8,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,8,V-2023.12-SP4,138,138,0,4.5948,4.5948,0.0,0.0,0.0,0.24,0.31,0.0,0,V-2023.12-SP4,141,141,0,4.67,4.67,0.0,6.426,0.7268,0.0,0.0,0.26,0.29,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.01989,0.01984,3.212e-05,0.03976,0.03973,0.0297975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01989,0.01984,3.212e-05,0.03976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-31T14:19:25+00:00
simplemux_16_8_5nm_TT_0V7_25C_1333p33MHz,simplemux,data_width=16;num_inputs=8,5nm,TT,0.7,25.0,0.75,1333.3333333333333,16,8,V-2023.12-SP4,138,138,0,4.5948,4.5948,0.0,0.0,0.0,0.24,0.31,0.0,0,V-2023.12-SP4,141,141,0,4.67,4.67,0.0,6.426,0.7268,0.0,0.0,0.26,0.29,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.015529999999999999,0.009985,3.128e-05,0.02554,0.025515,0.01913625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015529999999999999,0.009985,3.128e-05,0.02554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-31T14:19:33+00:00
