tag	step	error
20nm_array_X64_512x4_tr1_vnom_tnom	simulate	exit 1; log tail: blb_wrs_c0          0.0003 V   (expect < 0.135 V) ok bl_wrt_c0           0.0000 V   (expect < 0.135 V) ok  array_measures: wrote measures.csv array_measures: FAIL — measure t_rd_bl_dev missing/failed
10nm_dec_512x4_vnom_tnom	decoder	exit 1; log tail: wllast_off        0.0000 V   (expect < 0.120 V) ok wl_idle           0.0000 V   (expect < 0.120 V) ok  dec_measures: wrote measures.csv dec_measures: FAIL -- measure t_clk_wl missing/failed; measure t_wlen_wl missing/failed; measure t_wl_rise missing/failed; wl0_act=1.299e-06 not >
20nm_array_X64_512x8_tr1_vnom_tnom	simulate	exit 1; log tail: blb_wrs_c0          0.0003 V   (expect < 0.135 V) ok bl_wrt_c0           0.0000 V   (expect < 0.135 V) ok  array_measures: wrote measures.csv array_measures: FAIL — measure t_rd_bl_dev missing/failed
10nm_dec_512x8_vnom_tnom	decoder	exit 1; log tail: wllast_off        0.0000 V   (expect < 0.120 V) ok wl_idle           0.0000 V   (expect < 0.120 V) ok  dec_measures: wrote measures.csv dec_measures: FAIL -- measure t_clk_wl missing/failed; measure t_wlen_wl missing/failed; measure t_wl_rise missing/failed; wl0_act=1.135e-06 not >
20nm_array_X64_512x16_tr1_vnom_tnom	simulate	exit 1; log tail: blb_wrs_c0          0.0002 V   (expect < 0.135 V) ok bl_wrt_c0           0.0001 V   (expect < 0.135 V) ok  array_measures: wrote measures.csv array_measures: FAIL — measure t_rd_bl_dev missing/failed
10nm_array_X8_64x16_tr1_v0.7_t85	simulate	exit 1; log tail: blb_wrs_c0          0.0003 V   (expect < 0.105 V) ok bl_wrt_c0           0.0000 V   (expect < 0.105 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A4: e_rd_1to0=2.348e-13 < e_rd_1to1=2.368e-13 (full BL discharge must cost more)
07nm_array_X8_64x16_tr1_v0.65_t85	simulate	exit 1; log tail: blb_wrs_c0          0.0003 V   (expect < 0.098 V) ok bl_wrt_c0           0.0000 V   (expect < 0.098 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A4: e_rd_1to0=1.685e-13 < e_rd_1to1=1.712e-13 (full BL discharge must cost more)
07nm_array_X32_256x4_tr1_vnom_t85	simulate	exit 1; log tail: blb_wrs_c0          0.0011 V   (expect < 0.112 V) ok bl_wrt_c0           0.0000 V   (expect < 0.112 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A4: e_rd_1to0=1.994e-13 < e_rd_1to1=2.073e-13 (full BL discharge must cost more)
07nm_array_X32_256x4_tr1_v0.65_t85	simulate	exit 1; log tail: blb_wrs_c0          0.0010 V   (expect < 0.098 V) ok bl_wrt_c0           0.0000 V   (expect < 0.098 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A4: e_rd_1to0=1.473e-13 < e_rd_1to1=1.595e-13 (full BL discharge must cost more)
10nm_array_X32_256x4_tr1_vnom_t85	simulate	exit 1; log tail: blb_wrs_c0          0.0017 V   (expect < 0.120 V) ok bl_wrt_c0           0.0000 V   (expect < 0.120 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A4: e_rd_1to0=2.797e-13 < e_rd_1to1=2.838e-13 (full BL discharge must cost more)
10nm_array_X32_256x4_tr1_v0.7_t85	simulate	exit 1; log tail: blb_wrs_c0          0.0015 V   (expect < 0.105 V) ok bl_wrt_c0           0.0000 V   (expect < 0.105 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A4: e_rd_1to0=2.089e-13 < e_rd_1to1=2.207e-13 (full BL discharge must cost more)
20nm_array_X4_16x8_tr1_v1.05_tnom	simulate	exit 1; log tail: blb_wrs_c0          0.0001 V   (expect < 0.158 V) ok bl_wrt_c0           0.0001 V   (expect < 0.158 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A2: p_leak_w=3.725e-06 W >= 3.3e-07 W ceiling (resistive short?)
20nm_dec_16x8_v1.05_tnom	decoder	exit 1; log tail: wllast_off        0.0000 V   (expect < 0.158 V) ok wl_idle           0.0000 V   (expect < 0.158 V) ok  dec_measures: wrote measures.csv dec_measures: FAIL -- D2: p_leak_w=1.815e-06 W >= 1.6e-07 W ceiling (resistive short?)
20nm_array_X4_16x8_tr1_v1.05_t85	simulate	exit 1; log tail: blb_wrs_c0          0.0019 V   (expect < 0.158 V) ok bl_wrt_c0           0.0041 V   (expect < 0.158 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A2: p_leak_w=0.0001217 W >= 9.9e-06 W ceiling (resistive short?)
20nm_dec_16x8_v1.05_t85	decoder	exit 1; log tail: wllast_off        0.0000 V   (expect < 0.158 V) ok wl_idle           0.0000 V   (expect < 0.158 V) ok  dec_measures: wrote measures.csv dec_measures: FAIL -- D2: p_leak_w=5.653e-05 W >= 4.8e-06 W ceiling (resistive short?); D6: e_idle_clk=5.786e-13 >= e_act_same=5.485e-13
20nm_dec_64x16_v1.05_tnom	decoder	exit 1; log tail: wllast_off        0.0000 V   (expect < 0.158 V) ok wl_idle           0.0000 V   (expect < 0.158 V) ok  dec_measures: wrote measures.csv dec_measures: FAIL -- D2: p_leak_w=6.98e-06 W >= 6.4e-07 W ceiling (resistive short?)
20nm_array_X8_64x16_tr1_v1.05_tnom	simulate	exit 1; log tail: blb_wrs_c0          0.0001 V   (expect < 0.158 V) ok bl_wrt_c0           0.0001 V   (expect < 0.158 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A2: p_leak_w=2.653e-05 W >= 2.57e-06 W ceiling (resistive short?)
20nm_dec_64x16_v1.05_t85	decoder	exit 1; log tail: wllast_off        0.0000 V   (expect < 0.158 V) ok wl_idle           0.0000 V   (expect < 0.158 V) ok  dec_measures: wrote measures.csv dec_measures: FAIL -- D2: p_leak_w=0.0002008 W >= 1.92e-05 W ceiling (resistive short?); D6: e_idle_clk=2.028e-12 >= e_act_same=1.966e-12
20nm_array_X8_64x16_tr1_v1.05_t85	simulate	exit 1; log tail: blb_wrs_c0          0.0021 V   (expect < 0.158 V) ok bl_wrt_c0           0.0029 V   (expect < 0.158 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A2: p_leak_w=0.0008307 W >= 7.71e-05 W ceiling (resistive short?)
20nm_dec_256x32_v1.05_tnom	decoder	exit 1; log tail: wllast_off        0.0000 V   (expect < 0.158 V) ok wl_idle           0.0000 V   (expect < 0.158 V) ok  dec_measures: wrote measures.csv dec_measures: FAIL -- D2: p_leak_w=2.7e-05 W >= 2.56e-06 W ceiling (resistive short?)
20nm_array_X32_256x32_tr1_v1.05_tnom	simulate	exit 1; log tail: blb_wrs_c0          0.0001 V   (expect < 0.158 V) ok bl_wrt_c0           0.0001 V   (expect < 0.158 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A2: p_leak_w=0.0002079 W >= 2.05e-05 W ceiling (resistive short?)
20nm_dec_256x32_v1.05_t85	decoder	exit 1; log tail: wllast_off        0.0002 V   (expect < 0.158 V) ok wl_idle           0.0000 V   (expect < 0.158 V) ok  dec_measures: wrote measures.csv dec_measures: FAIL -- D2: p_leak_w=0.000729 W >= 7.68e-05 W ceiling (resistive short?)
20nm_array_X32_256x32_tr1_v1.05_t85	simulate	exit 1; log tail: blb_wrs_c0          0.0015 V   (expect < 0.158 V) ok bl_wrt_c0           0.0018 V   (expect < 0.158 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A2: p_leak_w=0.006456 W >= 0.000615 W ceiling (resistive short?)
07nm_array_X8_64x16_tr1_v0.6_t85	simulate	exit 1; log tail: blb_wrs_c0          0.0003 V   (expect < 0.090 V) ok bl_wrt_c0           0.0000 V   (expect < 0.090 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A4: e_rd_1to0=1.433e-13 < e_rd_1to1=1.481e-13 (full BL discharge must cost more)
10nm_array_X8_64x16_tr1_v0.65_t85	simulate	exit 1; log tail: blb_wrs_c0          0.0003 V   (expect < 0.098 V) ok bl_wrt_c0           0.0000 V   (expect < 0.098 V) ok  array_measures: wrote measures.csv array_measures: FAIL — A4: e_rd_1to0=2.013e-13 < e_rd_1to1=2.067e-13 (full BL discharge must cost more)
