node,transistor,corner,voltage_offset_V,vdd_V,temperature_C,rows,cols,wd,toggle_rate,n_toggle_cols,pex,wr_same_energy_pJ,wr_toggle_energy_pJ,rd_1to1_energy_pJ,rd_1to0_energy_pJ,wr1_init_energy_pJ,wr0_fill_energy_pJ,leak_power_mW,rd_delay_ns,rd_bl_dev_ns,rd_sense_ns,wr_delay_ns,wr_bl_ns,wr_cell_ns,width_um,height_um,total_area_um2,flow_run_id,decoder_area_um2,macro_area_um2
5nm,hp,TT,-0.1,0.6,25,8,4,4,1.0,4,1,0.005382,0.01944,0.005278,0.009285,0.005451,0.009375,1.867e-05,0.04612,0.005747,-2.954,0.04165,0.02914,0.01251,0.888,3.988,3.5413,array_X4_8x4_tr1_v0.6_t25_20260718_070042,3.024,6.5653
5nm,hp,TT,-0.1,0.6,85,8,4,4,1.0,4,1,0.007579,0.02287,0.007488,0.01209,0.007595,0.01201,0.0002627,0.04233,0.005896,-2.958,0.04483,0.03013,0.0147,0.888,3.988,3.5413,array_X4_8x4_tr1_v0.6_t85_20260718_070127,3.024,6.5653
5nm,hp,TT,0,0.7,25,8,4,4,1.0,4,1,0.007316,0.0271,0.007217,0.01282,0.007409,0.01288,2.843e-05,0.03627,0.004914,-2.964,0.0372,0.02618,0.01101,0.888,3.988,3.5413,array_X4_8x4_tr1_v0.7_t25_20260718_022258,3.024,6.5653
5nm,hp,TT,0,0.7,85,8,4,4,1.0,4,1,0.01035,0.0318,0.01023,0.01664,0.01037,0.01644,0.0003437,0.03475,0.005062,-2.965,0.04057,0.02769,0.01288,0.888,3.988,3.5413,array_X4_8x4_tr1_v0.7_t85_20260718_070113,3.024,6.5653
5nm,hp,TT,0.1,0.8,25,8,4,4,1.0,4,1,0.009662,0.0365,0.009524,0.01722,0.009775,0.01714,3.502e-05,0.03097,0.004283,-2.969,0.03499,0.02488,0.01011,0.888,3.988,3.5413,array_X4_8x4_tr1_v0.8_t25_20260718_070056,3.024,6.5653
5nm,hp,TT,0.1,0.8,85,8,4,4,1.0,4,1,0.0137,0.04263,0.01355,0.02227,0.01374,0.02179,0.0004449,0.03048,0.004492,-2.97,0.03788,0.02619,0.01169,0.888,3.988,3.5413,array_X4_8x4_tr1_v0.8_t85_20260718_070140,3.024,6.5653
5nm,hp,TT,0,0.7,25,8,8,4,1.0,8,1,0.01468,0.05423,0.01448,0.02568,0.01486,0.0258,5.621e-05,0.03627,0.004915,-2.964,0.0372,0.02618,0.01102,1.776,3.988,7.0827,array_X4_8x8_tr1_v0.7_t25_20260718_022350,3.024,10.1067
5nm,hp,TT,0,0.7,25,8,16,4,1.0,16,1,0.0294,0.1085,0.029,0.05138,0.02977,0.05163,0.0001142,0.03608,0.004903,-2.964,0.03717,0.02618,0.01099,3.552,3.988,14.1654,array_X4_8x16_tr1_v0.7_t25_20260718_022521,3.024,17.1894
5nm,hp,TT,0,0.7,25,8,32,4,1.0,32,1,0.05883,0.2171,0.05804,0.1028,0.05963,0.1033,0.0002276,0.03627,0.004909,-2.964,0.03717,0.02618,0.01099,7.104,3.988,28.3308,array_X4_8x32_tr1_v0.7_t25_20260718_022647,3.024,31.3548
5nm,hp,TT,-0.1,0.6,25,8,64,4,1.0,64,1,0.08661,0.3116,0.08505,0.1488,0.08771,0.1503,0.0002831,0.04614,0.005742,-2.954,0.04171,0.02926,0.01245,14.208,3.988,56.6615,array_X4_8x64_tr1_v0.6_t25_20260718_070153,3.024,59.6855
5nm,hp,TT,-0.1,0.6,85,8,64,4,1.0,64,1,0.1218,0.3663,0.1203,0.1937,0.122,0.1925,0.004273,0.04231,0.005893,-2.958,0.04484,0.03024,0.0146,14.208,3.988,56.6615,array_X4_8x64_tr1_v0.6_t85_20260718_071035,3.024,59.6855
5nm,hp,TT,0,0.7,25,8,64,4,1.0,64,1,0.1177,0.4341,0.1161,0.2056,0.1193,0.2066,0.0004754,0.03627,0.004909,-2.964,0.03724,0.02629,0.01095,14.208,3.988,56.6615,array_X4_8x64_tr1_v0.7_t25_20260718_022853,3.024,59.6855
5nm,hp,TT,0,0.7,85,8,64,4,1.0,64,1,0.166,0.5095,0.1642,0.2667,0.1664,0.2637,0.005502,0.03474,0.005057,-2.965,0.04057,0.0278,0.01278,14.208,3.988,56.6615,array_X4_8x64_tr1_v0.7_t85_20260718_070753,3.024,59.6855
5nm,hp,TT,0.1,0.8,25,8,64,4,1.0,64,1,0.1555,0.5847,0.1531,0.2761,0.1573,0.2748,0.0005457,0.03099,0.004272,-2.969,0.03503,0.02499,0.01004,14.208,3.988,56.6615,array_X4_8x64_tr1_v0.8_t25_20260718_070500,3.024,59.6855
5nm,hp,TT,0.1,0.8,85,8,64,4,1.0,64,1,0.2202,0.6827,0.2177,0.357,0.2206,0.3493,0.00712,0.03048,0.004481,-2.97,0.03786,0.02628,0.01158,14.208,3.988,56.6615,array_X4_8x64_tr1_v0.8_t85_20260718_071313,3.024,59.6855
