node,transistor,corner,voltage_offset_V,vdd_V,temperature_C,rows,cols,pex,dec_act_energy_pJ,dec_flip_energy_pJ,dec_idle_energy_pJ,dec_leak_power_mW,dec_clk_wl_ns,dec_wlen_wl_ns,dec_wl_rise_ns,wl_cap_fF,wl_res_ohm,dec_width_um,dec_height_um,dec_area_um2,dec_util,clk_ns,flow_run_id
20nm,hp,TT,0,0.9,25,8,4,1,0.02417,0.03227,0.01137,1.678e-05,2.043,0.04285,0.03568,1.32372,101.072,2.112,11.2,23.6544,0.6696,10,dec_8x4_v0.9_t25_20260715_121024
20nm,hp,TT,0,0.9,25,8,8,1,0.025155,0.03324,0.01141,1.439e-05,2.055,0.05468,0.05822,2.63877,208.43,2.112,11.2,23.6544,0.6696,10,dec_8x8_v0.9_t25_20260715_121259
20nm,hp,TT,0,0.9,25,8,16,1,0.027295,0.03537,0.01141,1.439e-05,2.077,0.07653,0.1033,5.26869,423.146,2.112,11.2,23.6544,0.6696,10,dec_8x16_v0.9_t25_20260715_121553
20nm,hp,TT,0,0.9,25,8,32,1,0.031645,0.039505,0.01138,1.591e-05,2.12,0.1201,0.1962,10.5269,852.578,2.112,11.2,23.6544,0.6696,10,dec_8x32_v0.9_t25_20260715_121920
20nm,hp,TT,0,0.9,25,8,64,1,0.04312,0.05134,0.0115,2.156e-05,2.161,0.161,0.2045,20.9112,1711.443,2.772,11.2,31.0464,0.619,10,dec_8x64_v0.9_t25_20260715_122355
20nm,hp,TT,0,0.9,25,16,4,1,0.03262,0.046555,0.01526,2.393e-05,2.045,0.04542,0.03662,1.32383,101.072,2.244,17.6,39.4944,0.6578,10,dec_16x4_v0.9_t25_20260715_122636
20nm,hp,TT,-0.1,0.8,25,16,8,1,0.026265,0.036945,0.01194,2.066e-05,2.063,0.06292,0.06238,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.8_t25_20260715_164928
20nm,hp,TT,-0.1,0.8,85,16,8,1,0.02974,0.040775,0.01481,0.0003035,2.06,0.05974,0.06283,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.8_t85_20260715_165114
20nm,hp,TT,-0.05,0.85,25,16,8,1,0.029855,0.0421,0.01354,2.135e-05,2.06,0.0597,0.06039,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.85_t25_20260715_164954
20nm,hp,TT,-0.05,0.85,85,16,8,1,0.03375,0.046445,0.01673,0.0003366,2.057,0.05707,0.06128,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.85_t85_20260715_165142
20nm,hp,TT,0,0.9,25,16,8,1,0.033695,0.04763,0.01527,2.393e-05,2.057,0.05713,0.05898,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.9_t25_20260715_122928
20nm,hp,TT,0,0.9,85,16,8,1,0.03812,0.05259,0.01884,0.0003758,2.055,0.05484,0.05985,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.9_t85_20260715_165207
20nm,hp,TT,0.05,0.95,25,16,8,1,0.037835,0.053595,0.01708,2.976e-05,2.055,0.0549,0.05754,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.95_t25_20260715_165022
20nm,hp,TT,0.05,0.95,85,16,8,1,0.04376,0.060175,0.02215,0.0005248,2.053,0.05291,0.05892,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.95_t85_20260715_165236
20nm,hp,TT,0.1,1,25,16,8,1,0.042715,0.06045,0.01955,8.578e-05,2.053,0.05301,0.05642,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v1_t25_20260715_165049
20nm,hp,TT,0.1,1,85,16,8,1,0.07246,0.091,0.05081,0.003213,2.051,0.05131,0.05809,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v1_t85_20260715_165306
20nm,hp,TT,0,0.9,25,16,16,1,0.035215,0.050095,0.01526,2.4e-05,2.079,0.07861,0.1031,5.26908,423.146,2.244,17.6,39.4944,0.6578,10,dec_16x16_v0.9_t25_20260715_123250
20nm,hp,TT,0,0.9,25,16,32,1,0.039865,0.05451,0.01526,2.421e-05,2.123,0.1228,0.1966,10.5276,852.578,2.244,17.6,39.4944,0.6578,10,dec_16x32_v0.9_t25_20260715_123721
20nm,hp,TT,0,0.9,25,16,64,1,0.055715,0.07054,0.01541,3.716e-05,2.182,0.182,0.2052,20.9123,1711.443,2.772,17.6,48.7872,0.6537,10,dec_16x64_v0.9_t25_20260715_124418
20nm,hp,TT,0,0.9,25,32,4,1,0.03973,0.062765,0.01921,3.797e-05,2.046,0.04616,0.03715,1.32385,101.072,3.3,30.4,100.32,0.4305,10,dec_32x4_v0.9_t25_20260715_124709
20nm,hp,TT,0,0.9,25,32,8,1,0.040705,0.06383,0.01923,3.793e-05,2.059,0.05864,0.06071,2.63904,208.43,3.3,30.4,100.32,0.4305,10,dec_32x8_v0.9_t25_20260715_125037
20nm,hp,TT,0,0.9,25,32,16,1,0.042835,0.065955,0.01923,3.793e-05,2.081,0.08056,0.1059,5.2692,423.146,3.3,30.4,100.32,0.4305,10,dec_32x16_v0.9_t25_20260715_125455
20nm,hp,TT,0,0.9,25,32,32,1,0.047345,0.070395,0.01924,3.788e-05,2.123,0.1231,0.1971,10.5279,852.578,3.3,30.4,100.32,0.4305,10,dec_32x32_v0.9_t25_20260715_130212
20nm,hp,TT,0,0.9,25,32,64,1,0.057985,0.081275,0.0195,6.485e-05,2.165,0.1646,0.2066,20.9128,1711.443,4.752,30.4,144.4608,0.3925,10,dec_32x64_v0.9_t25_20260715_131525
20nm,hp,TT,0,0.9,25,64,4,1,0.07113,0.112,0.02331,6.57e-05,2.052,0.05236,0.0456,1.32388,101.072,5.94,58.4,346.896,0.2174,10,dec_64x4_v0.9_t25_20260715_131912
20nm,hp,TT,0,0.9,25,64,8,1,0.07219,0.113,0.02331,6.57e-05,2.064,0.06368,0.06778,2.63907,208.43,5.94,58.4,346.896,0.2174,10,dec_64x8_v0.9_t25_20260715_132409
20nm,hp,TT,-0.1,0.8,25,64,16,1,0.05807,0.08969,0.01825,5.191e-05,2.094,0.09365,0.1197,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v0.8_t25_20260715_165642
20nm,hp,TT,-0.1,0.8,85,64,16,1,0.066645,0.09906,0.0254,0.0007794,2.089,0.0886,0.1204,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v0.8_t85_20260715_171208
20nm,hp,TT,-0.05,0.85,25,64,16,1,0.065905,0.10195,0.02073,5.59e-05,2.089,0.08917,0.116,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v0.85_t25_20260715_170031
20nm,hp,TT,-0.05,0.85,85,64,16,1,0.0755,0.1125,0.02862,0.0008615,2.085,0.08485,0.1174,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v0.85_t85_20260715_171546
